,id,place,speedrun_link,submitted_date,primary_time_seconds,real_time_seconds,player_id,player_name,player_country,platform,verified
314,z110elwz,315,https://www.speedrun.com/sm64/run/z110elwz,2019-03-29T17:27:30Z,6778,6778,y8d4dk58,SomeBro,United States,EMU,Yes
315,mrqw484y,316,https://www.speedrun.com/sm64/run/mrqw484y,2018-03-23T12:44:16Z,6780,6780,7j4qr2mx,marshmallow.,Japan,N64,Yes
316,y6v29v6m,317,https://www.speedrun.com/sm64/run/y6v29v6m,2024-05-03T17:29:00Z,6782,6782,68wg36qx,ded_lej,North Korea,N64,Yes
317,y9nqw1kz,318,https://www.speedrun.com/sm64/run/y9nqw1kz,2021-04-01T08:34:31Z,6790,6790,zxzzzrxq,Moose,United States,N64,Yes
318,ywrkn90m,319,https://www.speedrun.com/sm64/run/ywrkn90m,2023-06-17T13:10:34Z,6791,6791,48g7gd18,jepega,Netherlands,N64,Yes
319,y4gvkeny,320,https://www.speedrun.com/sm64/run/y4gvkeny,2023-04-01T10:58:28Z,6798,6798,pj0eny48,scoagogo,Northern Ireland,EMU,Yes
320,y4keq4dm,321,https://www.speedrun.com/sm64/run/y4keq4dm,2023-10-10T07:36:01Z,6799,6799,v8l0ogl8,Galaxtic,Sweden,EMU,Yes
321,0y6l5x0y,322,https://www.speedrun.com/sm64/run/0y6l5x0y,2015-03-23T04:38:39Z,6804,6804,y8dgeo86,mitcho,Australia,N64,Yes
322,pm3qd2dy,323,https://www.speedrun.com/sm64/run/pm3qd2dy,2016-06-01T03:23:55Z,6805,6805,qjn9dwxm,360Chrism,Germany,VC,Yes
323,yl69o0xy,324,https://www.speedrun.com/sm64/run/yl69o0xy,2023-05-01T07:01:13Z,6808,6808,8g5egl1j,Rayydex,Germany,EMU,Yes
324,nz13vprm,325,https://www.speedrun.com/sm64/run/nz13vprm,2015-01-16T04:10:32Z,6811,6811,0jmpgoj1,Audraxys,Canada,VC,Yes
325,pydlxvzn,326,https://www.speedrun.com/sm64/run/pydlxvzn,,6817,6817,8l00pll8,Gombill,United States,N64,Yes
326,pzgj4ez2,327,https://www.speedrun.com/sm64/run/pzgj4ez2,,6818,6818,v8lgq7jm,datimeloss,Canada,EMU,Yes
327,zqeeooxz,328,https://www.speedrun.com/sm64/run/zqeeooxz,2023-02-14T21:41:00Z,6820,6820,1xyqnov8,unpushplay,United States,N64,Yes
328,m3705x6z,329,https://www.speedrun.com/sm64/run/m3705x6z,2021-10-09T03:20:45Z,6826,6826,8gr1ld7x,kdogk,United States,EMU,Yes
329,9yolve0y,330,https://www.speedrun.com/sm64/run/9yolve0y,2016-04-21T13:32:55Z,6827,6827,18vyq58l,Haru様,Germany,N64,Yes
330,kz52wk5z,331,https://www.speedrun.com/sm64/run/kz52wk5z,2016-02-29T23:11:10Z,6828,6828,o864qpjz,JazzyChoi1991,England,N64,Yes
331,z07g06ey,331,https://www.speedrun.com/sm64/run/z07g06ey,2021-11-22T17:14:53Z,6828,6828,8gee7n7j,LxqZach,Germany,N64,Yes
332,y6vp241m,333,https://www.speedrun.com/sm64/run/y6vp241m,2024-02-26T23:37:21Z,6831,6831,8eeeov68,kronkerlife,Norway,EMU,Yes
333,mkg97kvy,334,https://www.speedrun.com/sm64/run/mkg97kvy,2021-04-18T17:29:24Z,6837,6837,98rv2rdj,Perna64,United States,N64,Yes
334,zxw15k8m,334,https://www.speedrun.com/sm64/run/zxw15k8m,2024-02-05T03:18:16Z,6837,6837,y8dwq59j,zg53,United States,N64,Yes
335,mrvv6lgz,336,https://www.speedrun.com/sm64/run/mrvv6lgz,2024-05-14T23:54:36Z,6843,6843,xkoo67k8,RisingPhoenix64,Slovakia,EMU,Yes
